start pipeline configuration
start mask
finished mask
         1911383 function calls (1882899 primitive calls) in 26.152 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1525/1    0.072    0.000   26.155   26.155 {built-in method builtins.exec}
        1    0.000    0.000   26.155   26.155 run_main.py:1(<module>)
     12/4    0.000    0.000   24.258    6.064 core.py:93(emit)
     56/4    0.000    0.000   24.258    6.064 event_streams.py:254(update)
    143/4    0.001    0.000   24.246    6.061 event_streams.py:218(emit)
     15/4    0.000    0.000   24.246    6.061 event_streams.py:825(_start_update)
       65    0.000    0.000   24.232    0.373 event_streams.py:238(dispatch)
    84/40    0.000    0.000   24.220    0.606 event_streams.py:1355(update)
        4    0.000    0.000   24.219    6.055 event_streams.py:843(_descriptor_update)
       11    0.001    0.000   24.218    2.202 event_streams.py:714(event)
        8    0.000    0.000   24.212    3.026 core.py:675(update)
        4    0.000    0.000   24.210    6.053 event_streams.py:1615(update)
        4    0.000    0.000   24.210    6.053 event_streams.py:1617(<listcomp>)
      375   21.151    0.056   21.151    0.056 {method 'acquire' of '_thread.lock' objects}
     6273    0.001    0.000   21.124    0.003 pool.py:314(<genexpr>)
       84    0.001    0.000   21.124    0.251 threading.py:261(wait)
       66    0.001    0.000   21.123    0.320 pool.py:677(next)
        1    0.004    0.004   17.527   17.527 tools.py:179(mask_img)
        1    0.000    0.000   17.352   17.352 tools.py:33(new_masking_method)
        2    0.026    0.013   13.014    6.507 tools.py:327(generate_binner)
        3    0.001    0.000   11.354    3.785 binned_statistic.py:249(__call__)
        2    0.001    0.000   11.055    5.528 binned_statistic.py:326(<listcomp>)
        1    0.001    0.001   10.071   10.071 tools.py:84(<listcomp>)
  2049/19    0.010    0.000    1.867    0.098 <frozen importlib._bootstrap>:966(_find_and_load)
  2049/19    0.009    0.000    1.866    0.098 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
  1375/24    0.008    0.000    1.863    0.078 <frozen importlib._bootstrap>:659(_load_unlocked)
  1177/24    0.004    0.000    1.863    0.078 <frozen importlib._bootstrap_external>:667(exec_module)
  1958/22    0.002    0.000    1.861    0.085 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
   872/69    0.002    0.000    1.610    0.023 {built-in method builtins.__import__}
       90    0.002    0.000    1.561    0.017 __init__.py:1(<module>)
        4    0.001    0.000    0.869    0.217 numeric.py:2009(fromfunction)
